role,name,address,postal,ssn,phone,homephone,email,location_id,id
Admin,Chuck Norris,svar,post,250645-9999,+354 5555555,+3545005000,admin@nanair.is,8,1
Mechanic,Jón Jónsson,Melagerð 99,200,300279-1289,+356 5815432,+354 6890012,mechanic@nanair.is,2,2
Financial,johann,flydrugrandi 1,107,2812892218,+3548627718,+3545812345,finance@nanair.is,1,3
Booking,Steini,Duggufjara 2,ada,0909982929,+3548571581,+3549003000,booking@nanair.is,1,4
Delivery,Jónas,Austurstekkur 2,150,0209862399,+3549481885,+3545812345,delivery@nanair.is,1,5
Delivery,Gunnar,Beníamúli6,388,3008081660,+3545406241,+3545812345,delivery2@nanair.is,4,6
Delivery,Matthildur,dvergabakki 10,109,0109761389,+3546705215,+3545812345,delivery3@nanair.is,2,7
Delivery,Gylfi,hjaltabakki 20,109,0910793729,+3546622819,+3545812345,delivery4@nanair.is,3,8
Delivery,Hrefna,háseyla 29,260,1205943026,+3547530298,+3545812345,delivery5@nanair.is,5,9
Delivery,Elmar,Espilundur 12,600,240797-2599,+3546682837,+3544758025,delivery6@nanair.is,7,10
